,City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
160,Bredasdorp,ZA,-34.53,80.6,42,12,20.8
161,Andapa,MG,-14.66,72.86,85,88,3.4
162,Lebu,ET,8.96,69.8,43,40,11.41
163,Qom,IR,34.64,44.24,90,0,3.06
164,Carnarvon,ZA,-30.97,79.07,20,0,12.12
165,Saint-Philippe,CA,45.36,12.56,78,1,4.7
166,Port Alfred,ZA,-33.59,69.71,89,88,14.41
167,Nianzishan,CN,47.51,2.84,56,0,5.53
168,Chirongui,YT,-12.93,86.0,70,75,9.17
169,Rabo de Peixe,PT,37.8,64.4,93,90,6.93
170,Ribeira Grande,PT,38.52,64.4,88,40,8.05
171,Longyearbyen,NO,78.22,37.4,86,75,28.86
172,Half Moon Bay,US,37.46,52.09,87,20,5.75
173,Bredasdorp,ZA,-34.53,80.6,42,12,20.8
174,Port Elizabeth,US,39.31,25.25,84,1,5.12
175,Thompson,CA,55.74,5.0,84,90,8.05
176,Kruisfontein,ZA,-34.0,68.27,78,8,13.4
177,Tasiilaq,GL,65.61,33.8,74,75,2.24
178,Carnarvon,ZA,-30.97,79.07,20,0,12.12
179,Albany,US,42.65,16.09,76,40,4.7
180,Sao Filipe,CV,14.9,77.5,84,0,15.64
181,Salalah,OM,17.01,80.6,51,0,10.29
182,Arraial do Cabo,BR,-22.97,86.0,74,0,6.93
183,Ha Giang,VN,22.83,55.04,99,56,1.54
184,Bethel,US,60.79,-9.86,81,1,6.93
185,Sept-Iles,CA,50.2,19.4,52,75,10.29
186,Ribeira Grande,PT,38.52,64.4,88,40,8.05
187,Ushuaia,AR,-54.81,49.01,53,0,20.8
188,Butaritari,KI,3.07,84.11,100,80,14.07
189,Hobart,AU,-42.88,60.8,82,75,3.29
190,Kaitangata,NZ,-46.28,46.49,83,68,9.26
191,Hobart,AU,-42.88,60.8,82,75,3.29
192,Vitim,RU,59.44,19.36,73,76,8.32
193,Tecoanapa,MX,16.99,73.4,83,75,4.7
194,Hermanus,ZA,-34.42,73.31,47,0,6.64
195,Victoria,BN,5.28,78.58,88,75,1.12
196,Saint-Pierre,FR,48.95,50.63,81,75,16.11
197,Ponta do Sol,BR,-20.63,79.52,92,68,4.41
198,Henties Bay,NA,-22.12,65.71,87,0,12.06
199,Uhlove,UA,44.82,37.31,100,92,24.25
200,Hithadhoo,MV,-0.6,82.81,100,0,7.76
201,Abu Dhabi,AE,24.47,75.2,60,20,10.29
202,Eyl,SO,7.98,80.24,84,0,20.07
203,Ribeira Grande,PT,38.52,64.4,88,40,8.05
204,Tasiilaq,GL,65.61,33.8,74,75,2.24
205,Puerto Ayora,EC,-0.74,77.0,78,75,6.93
206,Husavik,CA,50.56,33.31,92,92,6.42
207,Rikitea,PF,-23.12,75.47,100,88,16.87
208,Zhireken,RU,52.82,-10.98,50,0,2.51
209,Busselton,AU,-33.64,64.0,100,0,21.07
210,Hobart,AU,-42.88,60.8,82,75,3.29
211,Husavik,CA,50.56,33.31,92,92,6.42
212,Jalu,LY,29.03,66.79,43,0,12.91
213,Albany,US,42.65,16.09,76,40,4.7
214,Kongolo,CD,-5.39,84.52,62,20,2.89
215,Severo-Kurilsk,RU,50.68,24.71,100,36,8.81
216,Vaini,IN,15.34,72.52,46,12,3.36
217,Albany,US,42.65,16.09,76,40,4.7
218,Bluff,AU,-23.58,76.64,77,0,10.45
219,Viedma,AR,-40.81,88.3,31,20,14.07
220,Chokurdakh,RU,70.62,-41.76,0,20,3.06
221,Busselton,AU,-33.64,64.0,100,0,21.07
222,Salalah,OM,17.01,80.6,51,0,10.29
223,Rikitea,PF,-23.12,75.47,100,88,16.87
224,Hofn,IS,64.25,44.6,87,75,16.11
225,Dunn,US,35.31,30.67,100,1,4.79
226,Albany,US,42.65,16.09,76,40,4.7
227,Punta Arenas,CL,-53.16,54.34,62,40,16.11
228,Vaini,IN,15.34,72.52,46,12,3.36
229,Mossendjo,CG,-2.95,79.66,81,36,2.89
230,Victoria,BN,5.28,78.58,88,75,1.12
231,Rikitea,PF,-23.12,75.47,100,88,16.87
232,Lower Hutt,NZ,-41.21,59.0,93,64,25.28
233,Cabo San Lucas,MX,22.89,55.89,62,5,6.93
234,Jamestown,AU,-33.21,67.15,74,0,7.31
235,Jamestown,AU,-33.21,67.15,74,0,7.31
236,Ushuaia,AR,-54.81,49.01,53,0,20.8
237,Kamenka,RU,53.19,16.3,88,80,3.89
238,Qinhuangdao,CN,39.94,10.58,65,0,2.55
239,Hilo,US,19.71,64.04,83,1,6.93
240,Ponorogo,ID,-7.87,71.47,96,80,2.55
241,Vaini,IN,15.34,72.52,46,12,3.36
242,Port Alfred,ZA,-33.59,69.71,89,88,14.41
243,Creston,US,41.06,41.0,100,1,11.41
244,Ushuaia,AR,-54.81,49.01,53,0,20.8
245,Yatou,CM,3.63,89.6,70,75,4.7
246,Ushuaia,AR,-54.81,49.01,53,0,20.8
247,Taoudenni,ML,22.68,79.43,22,12,8.25
248,Ngunguru,NZ,-35.62,63.64,100,92,23.35
249,Constitucion,MX,23.99,32.0,67,5,3.36
250,Ushuaia,AR,-54.81,49.01,53,0,20.8
251,Hermanus,ZA,-34.42,73.31,47,0,6.64
252,Iqaluit,CA,63.75,14.0,78,90,6.93
253,Salalah,OM,17.01,80.6,51,0,10.29
254,Rikitea,PF,-23.12,75.47,100,88,16.87
255,Bokovskaya,RU,49.23,20.57,91,76,10.16
256,Galesong,ID,-5.32,77.0,100,20,1.12
257,Mar del Plata,AR,-46.43,63.82,61,88,12.91
258,Rikitea,PF,-23.12,75.47,100,88,16.87
259,East London,ZA,-33.02,77.0,65,20,13.87
260,Hilo,US,19.71,64.04,83,1,6.93
261,Albany,US,42.65,16.09,76,40,4.7
262,Kafanchan,NG,9.58,86.86,29,0,3.51
263,Hilo,US,19.71,64.04,83,1,6.93
264,Wajir,KE,1.75,87.71,27,0,7.14
265,Albany,US,42.65,16.09,76,40,4.7
266,Kapaa,US,22.08,69.57,65,75,13.87
267,Jamestown,AU,-33.21,67.15,74,0,7.31
268,Leningradskiy,RU,69.38,-16.92,100,12,1.54
269,Talnakh,RU,69.49,-23.26,33,8,22.64
270,Port Elizabeth,US,39.31,25.25,84,1,5.12
271,Hithadhoo,MV,-0.6,82.81,100,0,7.76
272,Hobart,AU,-42.88,60.8,82,75,3.29
273,Rio Grande,BR,-32.03,71.6,88,90,9.17
274,Punta Arenas,CL,-53.16,54.34,62,40,16.11
275,Gat,SN,14.69,89.6,10,0,13.87
276,Bonthe,SL,7.53,93.61,46,36,3.0
277,Linjiang,CN,41.81,2.57,53,0,4.0
278,Wladyslawowo,PL,54.79,30.2,86,75,18.34
279,Yoichi,JP,43.19,28.22,100,68,24.58
280,Port Angeles,US,48.12,45.01,86,75,3.78
281,Bredasdorp,ZA,-34.53,80.6,42,12,20.8
282,Richards Bay,ZA,-28.77,77.77,75,80,13.35
283,Bambous Virieux,MU,-20.34,82.4,65,75,14.99
284,Busselton,AU,-33.64,64.0,100,0,21.07
285,Ushuaia,AR,-54.81,49.01,53,0,20.8
286,New Norfolk,AU,-42.78,60.8,82,75,2.21
287,Kodiak,US,39.95,43.88,70,1,11.41
288,Thompson,CA,55.74,5.0,84,90,8.05
289,Chapleau,CA,47.85,30.2,92,90,8.05
290,Ndago,UG,-0.97,62.2,100,76,2.55
291,Busselton,AU,-33.64,64.0,100,0,21.07
292,Trairi,BR,-3.28,81.01,100,36,19.17
293,Marienburg,DE,52.12,43.56,75,75,6.93
294,Beidao,CN,34.57,27.91,89,0,5.23
295,Hermanus,ZA,-34.42,73.31,47,0,6.64
296,Dingle,PH,11.0,76.87,85,64,12.57
297,Kodiak,US,39.95,43.88,70,1,11.41
298,Kirakira,SB,-10.46,83.39,100,92,10.83
299,Puerto Ayora,EC,-0.74,77.0,78,75,6.93
300,Sept-Iles,CA,50.2,19.4,52,75,10.29
301,Qaanaaq,GL,77.48,-6.16,70,20,7.25
302,Busselton,AU,-33.64,64.0,100,0,21.07
303,Mar del Plata,AR,-46.43,63.82,61,88,12.91
304,Lebu,ET,8.96,69.8,43,40,11.41
305,Nelson Bay,AU,-32.72,71.6,94,20,10.29
306,Gonbad-e Qabus,IR,37.25,49.05,93,90,4.7
307,Mahebourg,MU,-20.41,82.4,65,75,14.99
308,Dikson,RU,73.51,-2.43,86,32,19.95
309,Vaini,IN,15.34,72.52,46,12,3.36
310,Rikitea,PF,-23.12,75.47,100,88,16.87
311,Cidreira,BR,-30.17,74.21,98,80,9.04
312,Cape Town,ZA,-33.93,75.2,57,40,10.29
313,Isangel,VU,-19.55,77.32,100,56,11.68
314,Saint-Philippe,CA,45.36,12.56,78,1,4.7
315,Hermanus,ZA,-34.42,73.31,47,0,6.64
316,East London,ZA,-33.02,77.0,65,20,13.87
317,Jamestown,AU,-33.21,67.15,74,0,7.31
318,Albany,US,42.65,16.09,76,40,4.7
319,Buinsk,RU,54.97,4.6,80,48,3.11
320,Isangel,VU,-19.55,77.32,100,56,11.68
321,Codrington,AU,-28.95,72.21,88,12,4.7
322,Mataura,NZ,-46.19,42.53,94,32,7.14
323,Yushu,CN,44.84,6.22,56,0,3.06
324,Puerto Ayora,EC,-0.74,77.0,78,75,6.93
325,Mar del Plata,AR,-46.43,63.82,61,88,12.91
326,Westport,IE,53.8,41.0,100,75,11.41
327,Mataura,NZ,-46.19,42.53,94,32,7.14
328,Avarua,CK,-21.21,73.4,100,20,2.24
329,Saint-Philippe,CA,45.36,12.56,78,1,4.7
330,Markivka,UA,49.52,19.09,92,88,9.89
331,Taggia,IT,43.86,41.54,93,75,11.41
332,Ponta Delgada,PT,37.73,64.4,93,90,6.93
333,Busselton,AU,-33.64,64.0,100,0,21.07
334,Majene,ID,-3.54,81.1,100,92,4.79
335,Busselton,AU,-33.64,64.0,100,0,21.07
336,Puerto Ayora,EC,-0.74,77.0,78,75,6.93
337,Samarinda,ID,-0.5,72.01,100,92,2.51
338,Balabac,PH,7.99,82.9,98,12,11.79
339,Alto Paraguai,BR,-14.51,85.15,87,24,4.07
340,Visby,SE,57.64,33.8,100,75,8.05
341,Barrow,AR,-38.31,80.42,45,0,11.56
342,Thompson,CA,55.74,5.0,84,90,8.05
343,Sao Joao da Barra,BR,-21.64,86.0,62,0,11.41
344,Ilulissat,GL,69.22,28.4,86,75,6.93
345,Abalak,NE,15.46,82.22,20,0,14.36
346,Pisco,PE,-13.71,71.6,30,20,5.82
347,Hilo,US,19.71,64.04,83,1,6.93
348,Valdosta,US,30.83,47.44,92,75,3.36
349,Jamestown,AU,-33.21,67.15,74,0,7.31
350,East London,ZA,-33.02,77.0,65,20,13.87
351,New Norfolk,AU,-42.78,60.8,82,75,2.21
352,Rikitea,PF,-23.12,75.47,100,88,16.87
353,Lavrentiya,RU,65.58,-2.7,100,0,9.93
354,Rikitea,PF,-23.12,75.47,100,88,16.87
355,Cape Town,ZA,-33.93,75.2,57,40,10.29
356,Punta Arenas,CL,-53.16,54.34,62,40,16.11
357,Vila Franca do Campo,PT,37.72,64.4,93,90,6.93
358,Bluff,AU,-23.58,76.64,77,0,10.45
359,Pevek,RU,69.7,-34.87,100,0,2.1
360,Tessalit,ML,20.2,77.5,24,32,8.25
361,Rassvet,MD,47.2,23.0,85,90,12.75
362,Mar del Plata,AR,-46.43,63.82,61,88,12.91
363,Busselton,AU,-33.64,64.0,100,0,21.07
364,Provost,CA,52.35,28.13,92,56,9.78
365,Mataura,NZ,-46.19,42.53,94,32,7.14
366,Vila Velha,BR,-3.71,86.0,58,40,21.92
367,Saint-Philippe,CA,45.36,12.56,78,1,4.7
368,Hermanus,ZA,-34.42,73.31,47,0,6.64
369,Rikitea,PF,-23.12,75.47,100,88,16.87
370,Esperance,TT,10.24,77.0,94,75,3.36
371,Punta Arenas,CL,-53.16,54.34,62,40,16.11
372,Ahipara,NZ,-35.17,61.12,100,92,15.82
373,Parrita,CR,9.52,67.1,59,0,5.82
374,Albany,US,42.65,16.09,76,40,4.7
375,Bethel,US,60.79,-9.86,81,1,6.93
376,Hobart,AU,-42.88,60.8,82,75,3.29
377,San Jeronimo,PE,-13.65,37.4,328,40,5.82
378,Albany,US,42.65,16.09,76,40,4.7
379,Rikitea,PF,-23.12,75.47,100,88,16.87
380,Morondava,MG,-20.3,89.11,68,68,5.91
381,Vasylivka,UA,47.44,24.8,85,90,13.42
382,Raduzhnyy,RU,62.1,-4.72,68,32,17.2
383,Salinopolis,BR,-0.61,78.17,100,80,10.11
384,Coquimbo,CL,-29.95,62.6,77,75,6.93
385,Atuona,PF,-9.8,80.51,100,88,14.07
386,Yellowknife,CA,62.45,1.4,84,90,4.7
387,Barrow,AR,-38.31,80.42,45,0,11.56
388,Hobart,AU,-42.88,60.8,82,75,3.29
389,College,US,64.86,-1.52,91,90,2.55
390,Cayenne,GF,4.94,82.4,74,75,13.87
391,Launceston,AU,-41.43,55.4,87,90,8.05
392,Larsnes,NO,62.2,45.84,48,75,17.22
393,Hilo,US,19.71,64.04,83,1,6.93
394,Bethel,US,60.79,-9.86,81,1,6.93
395,Naples,US,26.14,57.45,86,1,4.7
396,Faya,SA,18.39,68.05,55,40,14.99
397,Castro,CL,-42.48,53.6,87,90,9.17
398,Saint Anthony,US,43.97,29.25,84,1,5.82
399,Rikitea,PF,-23.12,75.47,100,88,16.87
400,Igrim,RU,63.19,12.52,69,36,6.42
401,Chokurdakh,RU,70.62,-41.76,0,20,3.06
402,Sao Filipe,CV,14.9,77.5,84,0,15.64
403,Vaini,IN,15.34,72.52,46,12,3.36
404,Avarua,CK,-21.21,73.4,100,20,2.24
405,Bredasdorp,ZA,-34.53,80.6,42,12,20.8
406,Punta Arenas,CL,-53.16,54.34,62,40,16.11
407,Punta Arenas,CL,-53.16,54.34,62,40,16.11
408,Kavaratti,IN,10.57,82.45,100,0,4.85
409,Seoul,KR,37.57,30.25,68,1,1.12
410,Ushuaia,AR,-54.81,49.01,53,0,20.8
411,Albany,US,42.65,16.09,76,40,4.7
412,Laguna,MX,27.52,45.55,82,0,1.88
413,Gamba,CN,28.28,-11.74,32,0,2.39
414,Atuona,PF,-9.8,80.51,100,88,14.07
415,Albany,US,42.65,16.09,76,40,4.7
416,Daru,SL,7.99,94.28,36,0,6.08
417,Alta Floresta,BR,-9.87,87.71,68,0,2.84
418,Arlit,NE,18.74,72.46,57,0,7.43
419,Cape Town,ZA,-33.93,75.2,57,40,10.29
420,Cape Town,ZA,-33.93,75.2,57,40,10.29
421,Mogadishu,SO,2.04,81.55,97,0,20.22
422,Carnarvon,ZA,-30.97,79.07,20,0,12.12
423,Kapaa,US,22.08,69.57,65,75,13.87
424,Ribeira Grande,PT,38.52,64.4,88,40,8.05
425,Raudeberg,NO,61.99,46.4,52,75,25.28
426,Atuona,PF,-9.8,80.51,100,88,14.07
427,Vaini,IN,15.34,72.52,46,12,3.36
428,Katsuura,JP,33.93,46.4,65,20,3.36
429,Rikitea,PF,-23.12,75.47,100,88,16.87
430,Rikitea,PF,-23.12,75.47,100,88,16.87
431,Hilo,US,19.71,64.04,83,1,6.93
432,New Norfolk,AU,-42.78,60.8,82,75,2.21
433,Pocinhos,BR,-7.08,82.4,48,0,16.11
434,Nouadhibou,MR,20.93,77.72,41,0,9.33
435,Kathmandu,NP,27.71,53.6,66,20,3.36
436,Tiksi,RU,71.64,-29.43,47,20,0.83
437,Carnarvon,ZA,-30.97,79.07,20,0,12.12
438,Bandarbeyla,SO,9.49,79.88,96,0,18.66
439,Tiksi,RU,71.64,-29.43,47,20,0.83
440,Ancud,CL,-41.87,53.6,87,90,9.17
441,Saint-Philippe,CA,45.36,12.56,78,1,4.7
442,Punta Arenas,CL,-53.16,54.34,62,40,16.11
443,Mustasaari,FI,63.17,30.2,86,80,8.05
444,Pandan,PH,11.72,81.19,98,100,22.86
445,Atuona,PF,-9.8,80.51,100,88,14.07
446,Alofi,NU,-19.06,69.8,100,12,1.12
447,Mason City,US,43.15,36.82,100,40,6.93
448,Ushuaia,AR,-54.81,49.01,53,0,20.8
449,Kenai,US,60.55,19.63,88,90,6.93
450,Laguna,MX,27.52,45.55,82,0,1.88
451,Sterling,US,39.0,26.11,92,1,8.14
452,Urubicha,BO,-15.63,81.1,83,88,3.11
453,Emerald,AU,-23.53,84.2,66,0,13.87
454,Townsville,AU,-19.26,82.4,83,75,10.29
455,Bumba,CD,2.18,96.4,24,0,4.9
456,Embu,KE,-0.54,64.31,95,80,3.89
457,Chokurdakh,RU,70.62,-41.76,0,20,3.06
458,Hobart,AU,-42.88,60.8,82,75,3.29
459,Altay,CN,47.83,-0.22,61,56,2.33
460,Busselton,AU,-33.64,64.0,100,0,21.07
461,Puerto Ayora,EC,-0.74,77.0,78,75,6.93
462,Albany,US,42.65,16.09,76,40,4.7
463,Makakilo City,US,21.35,68.7,72,1,9.17
464,Broken Hill,AU,-31.97,93.2,15,0,9.17
465,La Tuque,CA,47.44,11.8,73,44,3.51
466,Lake Jackson,US,29.03,59.14,100,40,6.93
467,Cape Town,ZA,-33.93,75.2,57,40,10.29
468,Cabo San Lucas,MX,22.89,55.89,62,5,6.93
469,Luderitz,NA,-26.65,65.17,79,0,17.43
470,Port Alfred,ZA,-33.59,69.71,89,88,14.41
471,Tasiilaq,GL,65.61,33.8,74,75,2.24
472,Serpukhov,RU,54.92,17.6,92,90,4.47
473,Scottsbluff,US,41.87,42.98,62,90,17.22
474,Mahebourg,MU,-20.41,82.4,65,75,14.99
475,Blagoyevo,RU,63.37,11.66,96,76,2.55
476,Praia da Vitoria,PT,38.73,64.9,94,36,12.84
477,Te Anau,NZ,-45.41,40.82,100,76,2.39
478,Mar del Plata,AR,-46.43,63.82,61,88,12.91
479,Constitucion,MX,23.99,32.0,67,5,3.36
480,Albany,US,42.65,16.09,76,40,4.7
481,Punta Arenas,CL,-53.16,54.34,62,40,16.11
482,Rikitea,PF,-23.12,75.47,100,88,16.87
483,Ushuaia,AR,-54.81,49.01,53,0,20.8
484,Ahipara,NZ,-35.17,61.12,100,92,15.82
485,Talnakh,RU,69.49,-23.26,33,8,22.64
486,Punta Arenas,CL,-53.16,54.34,62,40,16.11
487,Castro,CL,-42.48,53.6,87,90,9.17
488,Vaini,IN,15.34,72.52,46,12,3.36
489,Smithers,CA,54.78,30.2,92,90,5.82
490,Karratha,AU,-20.74,73.27,76,0,6.76
491,Rikitea,PF,-23.12,75.47,100,88,16.87
492,Aswan,EG,24.09,67.73,49,0,6.53
493,Hami,CN,42.84,5.09,56,0,2.84
494,Avarua,CK,-21.21,73.4,100,20,2.24
495,Port Alfred,ZA,-33.59,69.71,89,88,14.41
496,Lata,IN,30.78,29.26,92,0,1.61
497,Rikitea,PF,-23.12,75.47,100,88,16.87
498,Hue,VN,16.47,69.8,100,20,2.24
499,Uusikaupunki,FI,60.8,28.4,92,64,5.82
500,Butaritari,KI,3.07,84.11,100,80,14.07
501,Sao Felix do Xingu,BR,-6.64,76.06,99,92,2.84
